Step,Train_Loss,Valid_Loss,Test_Loss
20,0.4587,,
20,,0.5579081773757935,
20,,,0.4375748336315155
40,0.39,,
40,,0.5398206114768982,
40,,,0.4187872111797333
60,0.3838,,
60,,0.5342534184455872,
60,,,0.4113999009132385
80,0.3455,,
80,,0.5170475244522095,
80,,,0.40657365322113037
100,0.3501,,
100,,0.5137313604354858,
100,,,0.40371188521385193
120,0.3521,,
120,,0.5120474100112915,
120,,,0.40052852034568787
140,0.3523,,
140,,0.5145517587661743,
140,,,0.3979322016239166
160,0.3463,,
160,,0.5077592134475708,
160,,,0.39705216884613037
180,0.3345,,
180,,0.5126659274101257,
180,,,0.39509347081184387
200,0.3194,,
200,,0.5195654034614563,
200,,,0.39300256967544556
220,0.3164,,
220,,0.5248532891273499,
220,,,0.39184996485710144
240,0.3189,,
240,,0.5217598080635071,
240,,,0.3903931975364685
260,0.3127,,
260,,0.5189493894577026,
260,,,0.391902893781662
280,0.3058,,
280,,0.5099314451217651,
280,,,0.3933606445789337
300,0.2457,,
300,,0.5329983234405518,
300,,,0.4118061661720276
