Step,Train_Loss,Valid_Loss,Test_Loss
20,0.448,,
20,,0.5274125933647156,
20,,,0.42723479866981506
40,0.4043,,
40,,0.5155202746391296,
40,,,0.4091918468475342
60,0.404,,
60,,0.5010272860527039,
60,,,0.39967381954193115
80,0.3905,,
80,,0.4998387396335602,
80,,,0.3927554786205292
100,0.4079,,
100,,0.4978034794330597,
100,,,0.3876754641532898
120,0.3738,,
120,,0.49142685532569885,
120,,,0.38244372606277466
140,0.3635,,
140,,0.4866355061531067,
140,,,0.38000014424324036
160,0.3719,,
160,,0.48309779167175293,
160,,,0.3782743215560913
180,0.3785,,
180,,0.4805913269519806,
180,,,0.375211626291275
200,0.3607,,
200,,0.478224515914917,
200,,,0.3740982115268707
220,0.3616,,
220,,0.47554469108581543,
220,,,0.37198373675346375
240,0.3426,,
240,,0.47130006551742554,
240,,,0.3701472282409668
260,0.3481,,
260,,0.47086063027381897,
260,,,0.3697924017906189
280,0.3482,,
280,,0.4733477532863617,
280,,,0.3675590455532074
300,0.3065,,
300,,0.48142603039741516,
300,,,0.37479063868522644
320,0.2829,,
320,,0.48356950283050537,
320,,,0.3728853762149811
340,0.2861,,
340,,0.4804121255874634,
340,,,0.3727979063987732
